id,link
1,"https://newyork.craigslist.org/stn/edu/d/ela-math-tutors-needed-hr-staten-island/7251956576.html ,"
2,"https://newyork.craigslist.org/mnh/edu/d/new-york-online-tutor/7249794192.html ,"
3,"https://phoenix.craigslist.org/evl/lab/d/tonto-basin-make-hr-doing-home/7250841764.html ,"
4,"https://boulder.craigslist.org/edu/d/boulder-math-and-reading-language-arts/7244286212.html ,"
5,"https://sfbay.craigslist.org/nby/hea/d/healdsburg-bilingual-spanish-ma-full/7232811593.html ,"
6,"https://ventura.craigslist.org/edu/d/ventura-early-childhood-educator-iii/7247718926.html ,"
7,"https://sfbay.craigslist.org/sby/sof/d/san-jose-full-stack-developer-java-type/7247715462.html ,"
8,"https://abbotsford.craigslist.org/edu/d/abbotsford-east-tutor-or-respite/7244147700.html ,"
9,"https://houston.craigslist.org/dmg/d/humble-need-tutor-certified/7250282726.html ,"
10,"https://boston.craigslist.org/gbs/tlg/d/cambridge-lsat-tutor-needed-in-person/7250235847.html ,"
11,"https://losangeles.craigslist.org/wst/dmg/d/los-angeles-homeschool-spanish-speaking/7249257972.html ,"
12,"https://seattle.craigslist.org/see/edu/d/seattle-remote-learning-support-tutor/7251380238.html ,"
13,"https://sfbay.craigslist.org/pen/cpg/d/san-mateo-compile-urbackup-client-open/7252288360.html ,"
14,"https://orangecounty.craigslist.org/dmg/d/tustin-wanted-grade-turor/7252100582.html ,"
15,"https://orangecounty.craigslist.org/dmg/d/irvine-homework-help/7252403113.html ,"
16,"https://seattle.craigslist.org/tac/dmg/d/sumner-nepali-tutor/7253038631.html ,"
17,"https://seattle.craigslist.org/see/cpg/d/seattle-in-need-of-tutor/7252932469.html ,"
18,"https://newyork.craigslist.org/lgi/edu/d/new-hyde-park-grades-10-math-tutor/7254313427.html ,"
19,"https://boston.craigslist.org/sob/edu/d/hingham-tutors/7261682777.html ,"
20,"https://orangecounty.craigslist.org/edu/d/newport-beach-tutors-on-campus/7261688767.html ,"
21,"https://minneapolis.craigslist.org/csw/dmg/d/hamel-in-person-esl-esol-spanish-tutor/7261522772.html ,"
22,"https://washingtondc.craigslist.org/doc/edu/d/washington-online-academic-test-prep/7262071185.html ,"
23,"https://losangeles.craigslist.org/wst/edu/d/los-angeles-online-sat-act-tutor/7269631077.html ,"
24,"https://losangeles.craigslist.org/sgv/edu/d/azusa-in-person-math-english-tutors/7430384611.html ,"
25,"https://victoria.craigslist.org/edu/d/victoria-hiring-part-time-math-and/7428307121.htm,"
