id,msa,search
1,edmonton,1
2,winnipeg,1
3,santabarbara,1
4,bellingham,1
5,santafe,1
6,ventura,1
7,bakersfield,1
8,vancouver,1
9,gulfport,1
10,omaha,1
11,victoria,1
12,atlanta,1
13,tulsa,1
14,tippecanoe,1
15,cincinnati,1
16,saltlakecity,1
17,austin,1
18,boston,1
19,palmsprings,1
20,chicago,1
21,springfieldil,1
22,dallas,1
23,denver,1
24,detroit,1
25,houston,1
26,lynchburg,1
27,lasvegas,1
28,losangeles,1
29,miami,1
30,minneapolis,1
31,newyork,1
32,wichita,1
33,philadelphia,1
34,pittsburgh,1
35,phoenix,1
36,portland,1
37,boulder,1
38,merced,1
39,annarbor,1
40,gainesville,1
41,seattle,1
42,sfbay,1
43,lincoln,1
44,tucson,1
45,southbend,1
46,neworleans,1
47,collegestation,1
48,lansing,1
49,raleigh,1
50,boise,1
51,reno,1
52,humboldt,1
53,orangecounty,1
54,ithaca,1
55,rochester,1
56,washingtondc,1
